"name","maps_url","phone","website","type","rating","reviews","price","address","hours","description","review","image_url"
"Smooth Smile Dental Studio (Dr. Hanan Haroon Ch)","https://www.google.com/maps/place/Smooth+Smile+Dental+Studio+%28Dr.+Hanan+Haroon+Ch%29/data=!4m7!3m6!1s0x391901b31123e44d:0xffbf1cf47c750dd2!8m2!3d31.4067854!4d74.2663475!16s%2Fg%2F11v19bbmbk!19sChIJTeQjEbMBGTkR0g11fPQcv_8?authuser=0&amp;hl=en&amp;rclk=1","'03145190000","https://smoothsmiledentalstudio.org/","","4.9","","","","","","",""
"Dental Aesthetics","https://www.google.com/maps/place/Dental+Aesthetics/data=!4m7!3m6!1s0x39190673f9538229:0x9a3c0cbac6f89782!8m2!3d31.471864!4d74.3756495!16s%2Fg%2F11bzs4pdxw!19sChIJKYJT-XMGGTkRgpf4xroMPJo?authuser=0&amp;hl=en&amp;rclk=1","'03032737773","https://dentalaesthetics.pk/","","4.5","","","","Open · Closes 6 PM · +92 303 2737773WebsiteDirections","+92 303 2737773WebsiteDirections","",""
"Al Aziz Family Dental clinic 24/7 open  4.5Dental clinic ·  · near hockey stadiumOpen 24 hours · +92 321 4397073WebsiteDirections","https://www.google.com/maps/place/Al+Aziz+Family+Dental+clinic+24%2F7+open/data=!4m7!3m6!1s0x3919016591358891:0x3e8756b78233e44b!8m2!3d31.4559472!4d74.2805959!16s%2Fg%2F11b7227sld!19sChIJkYg1kWUBGTkRS-QzgrdWhz4?authuser=0&amp;hl=en&amp;rclk=1","'03214397073","https://alazizcare.site/","","4.5","","","","","","",""
"Smile Hub Clinics","https://www.google.com/maps/place/Smile+Hub+Clinics/data=!4m7!3m6!1s0x391901f990d9349d:0xdc275d126024079c!8m2!3d31.462573!4d74.2746528!16s%2Fg%2F11kvq1skk5!19sChIJnTTZkPkBGTkRnAckYBJdJ9w?authuser=0&amp;hl=en&amp;rclk=1","'03035995990","https://www.instagram.com/smilehubclinics/","","4.8","","","599 Main Blvd","Closed · Opens 10 AM Mon · +92 303 5995990WebsiteDirections","Mon · +92 303 5995990WebsiteDirections","",""
"Teeth and Smile Dental Clinic","https://www.google.com/maps/place/Teeth+and+Smile+Dental+Clinic/data=!4m7!3m6!1s0x3919051fd421492f:0xcb0e9062d0550ee4!8m2!3d31.5104717!4d74.3523501!16s%2Fg%2F11trrldflz!19sChIJL0kh1B8FGTkR5A5V0GKQDss?authuser=0&amp;hl=en&amp;rclk=1","'03277088881","https://teethandsmile.pk/","","4.9","","","","Closed · Opens 12 PM · +92 327 7088881WebsiteDirections","+92 327 7088881WebsiteDirections","",""
"Dental Avenue Hospital","https://www.google.com/maps/place/Dental+Avenue+Hospital/data=!4m7!3m6!1s0x39190581fec9fc51:0x34633cd5821d0850!8m2!3d31.5444083!4d74.4025076!16s%2Fg%2F11q3phvj1b!19sChIJUfzJ_oEFGTkRUAgdgtU8YzQ?authuser=0&amp;hl=en&amp;rclk=1","'03330606601","https://dentalavenue.pk/","","4.8","","","","Closed · Opens 11 AM Mon · +92 333 0606601WebsiteDirections","Mon · +92 333 0606601WebsiteDirections","",""
"Cantt Dental Care","https://www.google.com/maps/place/Cantt+Dental+Care/data=!4m7!3m6!1s0x39190509c0a7204b:0x88cf62d0f9724e02!8m2!3d31.5496327!4d74.3896185!16s%2Fg%2F11h_42_wtk!19sChIJSyCnwAkFGTkRAk5y-dBiz4g?authuser=0&amp;hl=en&amp;rclk=1","'03000321321","https://canttdentalcare.com/","","4.9","","","","Closed · Opens 12 PM Mon · +92 300 0321321WebsiteDirections","Mon · +92 300 0321321WebsiteDirections","",""
"Ghauri Dental Center","https://www.google.com/maps/place/Ghauri+Dental+Center/data=!4m7!3m6!1s0x39190f26f03dc20f:0x7a1283c9c6a9a8c6!8m2!3d31.4833429!4d74.4090207!16s%2Fg%2F11g0hywhjl!19sChIJD8I98CYPGTkRxqipxsmDEno?authuser=0&amp;hl=en&amp;rclk=1","'03333711434","http://www.ghauridentalcenter.com/","","4.9","","","","","","",""
"Smile Solutions","https://www.google.com/maps/place/Smile+Solutions/data=!4m7!3m6!1s0x39191bf951ab45cf:0x99f9097989254a41!8m2!3d31.489078!4d74.3257141!16s%2Fg%2F11sf1dw4wq!19sChIJz0WrUfkbGTkRQUoliXkJ-Zk?authuser=0&amp;hl=en&amp;rclk=1","'03000933343","http://www.smilesolutions.pk/","","4.9","","","","Closed · Opens 3 PM · +92 300 0933343WebsiteDirections","+92 300 0933343WebsiteDirections","",""
"SmileOn Dental","https://www.google.com/maps/place/SmileOn+Dental/data=!4m7!3m6!1s0x391901b0bfa8bf01:0xcefa46ebd8c4f805!8m2!3d31.4413377!4d74.2677193!16s%2Fg%2F11fsk08z5d!19sChIJAb-ov7ABGTkRBfjE2OtG-s4?authuser=0&amp;hl=en&amp;rclk=1","'03311066666","https://www.smileon.pk/","","4.9","","","","Closed · Opens 11 AM Mon · +92 331 1066666WebsiteDirections","Mon · +92 331 1066666WebsiteDirections","",""
