name,phone,address,website,open_status,plus_code,rating,review_count,facebook_url,total_ads,active_ads
Shifa Dental Care,03329654719,"Plot 235, Jinnah Colony, Faisalabad, 38000, Pakistan",,,"C397+CX Faisalabad, Pakistan",4.6,45.0,,0,0
HDC: Hasan’s Dental Clinic,03242468822,"Masjid Ismail Rd, near Qaim Sain Road, Sidhupura, Faisalabad, 38001, Pakistan",,Open · Closes 9 PM,"F34F+JX Faisalabad, Pakistan",4.9,65.0,,0,0
Mr White Dental Clinic,03357511055,"G, 41 G Block, opposite aziz fatima hospital, Block G Gulistan Colony 1, Faisalabad, 38000, Pakistan",,Open · Closes 10 PM,"C4V2+H3 Faisalabad, Pakistan",5.0,76.0,,0,0
CM Dental Surgery (Dr.Abdul Basit),03018222271,"Susan Road, opp. Social Security Hospital, Madina Town, Faisalabad, 38860, Pakistan",,Open · Closes 11 PM,"C498+X4 Faisalabad, Pakistan",4.9,172.0,,0,0
Dr Tariq Javed Dental Clinic,03006560702,"126 Sargodha Rd، near General Bus Stand, Mana Wala, Faisalabad, Pakistan",https://dentomaxface.com/,Closed · Opens 5 PM,"C3GR+9X Faisalabad, Pakistan",4.7,124.0,,0,0
Saeed Dental Care,03289662000,"1471/B Hakeema Wala Chowk, Block B Ghulam Muhammad Abad, Faisalabad, 38000, Pakistan",,Open · Closes 10:30 PM,"C2PX+3H Faisalabad, Pakistan",5.0,60.0,https://www.facebook.com/dccfsd,,
Smile Centre (Dental Clinic) Dr. Ahmad Naveed,03327738387,"P32/1 Iqbal stadium shopping complex faisalabad P32, Faisalabad, 38000, Pakistan",,Closed · Opens 6 PM,"C3MP+GP Faisalabad, Pakistan",4.5,24.0,https://www.facebook.com/SmileCareDentalAndSkinClinic,0,0
DentoCorrect Clinic - Faisalabad,03461762762,"Chowk, 564-B Satayana Rd, Block B Saleemi, Faisalabad, 38000, Pakistan",http://dentocorrect.pk/,Open · Closes 8 PM,"C433+W2 Faisalabad, Pakistan",4.7,3.0,https://www.facebook.com/DentoCorrect.pk,14,14
Dental Excellence Centre (Dr.M.Shafique Mian Dentist - Dr.M.Haroon Shafique Dentist),03222634242,"49-B GCU Rd, Jinnah Colony, Faisalabad, 38000, Pakistan",,Closed · Opens 10 AM Sat,"C399+JV Faisalabad, Pakistan",4.4,79.0,https://www.facebook.com/LdmcLahore,0,0
Lone's Dental Clinic,03121756752,"no.2, Peoples colony, near Babar Chowk Main Rd, Block A Peoples Colony 2, Faisalabad, 38090, Pakistan",,Opens soon · 4 PM,"93XX+GG Faisalabad, Pakistan",4.9,236.0,,0,0
